DB/TABLE|Send to Lake|Has PII|CDC|Lookup Column Ref|HardDeleteFlag|partitionBy|Rows|Note
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDNXS1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRNK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXG1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXG1K_FRINGE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXI1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXP1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXU1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXU1K_BAP_METHOD1|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXU1K_BAP_METHOD2|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXU1K_BOP_COVERAGE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXU1K_BOP_OCCUPANCY|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXU1K_CPP_COVERAGE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDRXU1K_CPP_PREMIUM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDU4W1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUXB1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUXC1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUXC2K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUXG1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUXI1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUYB1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUYC1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUYG1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUYI1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUYP1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUYS1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDUYU1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_45_STACCT5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_96_RECSUM5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_MASTER|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
