DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenterAgg.dbo.pctl_availability|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bacost|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bajurisdictioncosttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bajurismodifier|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bamodifier|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bankaccounttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_banonownedliabcovcosttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bapolicytype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_baratedordertype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_basistype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bastatecond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bastatecovpipcosttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bastatecov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bastateexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_batchprocesstypeusage|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_batchprocesstype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bidependencytype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_billingmethod|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_billingperiodicity|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_billingremainderallocate|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_billingtransactiontype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bindoption|Y||Truncate and Load|TypeList|||||
