DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table
policycenterlite.dbo.pc_diagratingworksheet|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_diagratingworksheet|Subtype|ID|policycenterlite.dbo.pctl_DiagnosticRatingWorksheet|pctl_DiagnosticRatingWorksheet_TypeCode / pctl_DiagnosticRatingWorksheet_Name / pctl_DiagnosticRatingWorksheet_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_diagratingworksheetref|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_diagratingworksheetref|Subtype|ID|policycenterlite.dbo.pctl_DiagRatingWorksheetRef|pctl_DiagRatingWorksheetRef_TypeCode / pctl_DiagRatingWorksheetRef_Name / pctl_DiagRatingWorksheetRef_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_discretionaryPayrollExp|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pc_document|DeliveryStatus_Ext|ID|policycenterlite.dbo.pctl_DocDlvryStatusType_Ext|pctl_DocDlvryStatusType_Ext_TypeCode / pctl_DocDlvryStatusType_Ext_Name / pctl_DocDlvryStatusType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_document|Language|ID|policycenterlite.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_document|PrimaryESigned|ID|policycenterlite.dbo.pctl_DocumentStatusType|pctl_DocumentStatusType_TypeCode2 / pctl_DocumentStatusType_Name2 / pctl_DocumentStatusType_Description2|TypeCode / Name / Description
policycenterlite.dbo.pc_document|SecondaryESigned|ID|policycenterlite.dbo.pctl_DocumentStatusType|pctl_DocumentStatusType_TypeCode3 / pctl_DocumentStatusType_Name3 / pctl_DocumentStatusType_Description3|TypeCode / Name / Description
policycenterlite.dbo.pc_document|Section|ID|policycenterlite.dbo.pctl_DocumentSection|pctl_DocumentSection_TypeCode / pctl_DocumentSection_Name / pctl_DocumentSection_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_document|SecurityType|ID|policycenterlite.dbo.pctl_DocumentSecurityType|pctl_DocumentSecurityType_TypeCode / pctl_DocumentSecurityType_Name / pctl_DocumentSecurityType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_document|Status|ID|policycenterlite.dbo.pctl_DocumentStatusType|pctl_DocumentStatusType_TypeCode1 / pctl_DocumentStatusType_Name1 / pctl_DocumentStatusType_Description1|TypeCode / Name / Description
policycenterlite.dbo.pc_document|Type|ID|policycenterlite.dbo.pctl_DocumentType|pctl_DocumentType_TypeCode / pctl_DocumentType_Name / pctl_DocumentType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingAnimals_hoe|AnimalBreed|ID|policycenterlite.dbo.pctl_AnimalBreed_HOE|pctl_AnimalBreed_HOE_TypeCode / pctl_AnimalBreed_HOE_Name / pctl_AnimalBreed_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingAnimals_hoe|AnimalType|ID|policycenterlite.dbo.pctl_AnimalType_HOE|pctl_AnimalType_HOE_TypeCode / pctl_AnimalType_HOE_Name / pctl_AnimalType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingAnimals_hoe|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingAnimals_hoe|Subtype|ID|policycenterlite.dbo.pctl_DwellingAnimal_HOE|pctl_DwellingAnimal_HOE_TypeCode / pctl_DwellingAnimal_HOE_Name / pctl_DwellingAnimal_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingcov_hoe|buildersRisktype|ID|policycenterlite.dbo.pctl_BuildersRisk|pctl_BuildersRisk_TypeCode / pctl_BuildersRisk_Name / pctl_BuildersRisk_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingcov_hoe|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingcov_hoe|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingcov_hoe|Subtype|ID|policycenterlite.dbo.pctl_DwellingCov_HOE|pctl_DwellingCov_HOE_TypeCode / pctl_DwellingCov_HOE_Name / pctl_DwellingCov_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingmodifier_hoe|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingmodifier_hoe|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingmodifier_hoe|Subtype|ID|policycenterlite.dbo.pctl_DwellingModifier_HOE|pctl_DwellingModifier_HOE_TypeCode / pctl_DwellingModifier_HOE_Name / pctl_DwellingModifier_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingratefactor_hoe|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwellingratefactor_hoe|Subtype|ID|policycenterlite.dbo.pctl_DwellingRateFactor_HOE|pctl_DwellingRateFactor_HOE_TypeCode_Subtype / pctl_DwellingRateFactor_HOE_Name_Subtype / pctl_DwellingRateFactor_HOE_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|Affinity_Group|ID|policycenterlite.dbo.pctl_AffinityGroup_HOE_Ext|pctl_AffinityGroup_HOE_Ext_TypeCode / pctl_AffinityGroup_HOE_Ext_Name / pctl_AffinityGroup_HOE_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|AlarmType|ID|policycenterlite.dbo.pctl_AlarmType_HOE|pctl_AlarmType_HOE_TypeCode / pctl_AlarmType_HOE_Name / pctl_AlarmType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|BurglarAlarmType|ID|policycenterlite.dbo.pctl_BurglarAlarmType_HOE|pctl_BurglarAlarmType_HOE_TypeCode / pctl_BurglarAlarmType_HOE_Name / pctl_BurglarAlarmType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode /  pctl_EffDatedChangeType_Name /  pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|ConstructionType|ID|policycenterlite.dbo.pctl_ConstructionType_HOE|pctl_ConstructionType_HOE_TypeCode / pctl_ConstructionType_HOE_Name / pctl_ConstructionType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|CTWindMitigationDiscount|ID|policycenterlite.dbo.pctl_CT_WindMitigationDisc_Ext|pctl_CT_WindMitigationDisc_Ext_TypeCode / pctl_CT_WindMitigationDisc_Ext_Name / pctl_CT_WindMitigationDisc_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|DoorStrength_Ext|ID|policycenterlite.dbo.pctl_DoorStrength_Ext|pctl_DoorStrength_Ext_TypeCode / pctl_DoorStrength_Ext_Name / pctl_DoorStrength_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|DwellingLocation|ID|policycenterlite.dbo.pctl_DwellingLocationType_HOE|pctl_DwellingLocationType_HOE_TypeCode /  pctl_DwellingLocationType_HOE_Name /  pctl_DwellingLocationType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|DwellingUsage|ID|policycenterlite.dbo.pctl_DwellingUsage_HOE|pctl_DwellingUsage_HOE_TypeCode /  pctl_DwellingUsage_HOE_Name /  pctl_DwellingUsage_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|ElectricalType|ID|policycenterlite.dbo.pctl_BreakerType_HOE|pctl_BreakerType_HOE_TypeCode / pctl_BreakerType_HOE_Name / pctl_BreakerType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|ExteriorWall_Ext|ID|policycenterlite.dbo.pctl_HOExteriorWall_Ext|pctl_HOExteriorWall_Ext_TypeCode /  pctl_HOExteriorWall_Ext_Name /  pctl_HOExteriorWall_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|FortifiedCertification_Ext|ID|policycenterlite.dbo.pctl_FortifiedTier|pctl_FortifiedTier_TypeCode2 /  pctl_FortifiedTier_Name2 /  pctl_FortifiedTier_Description2|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|FortifiedTier|ID|policycenterlite.dbo.pctl_FortifiedTier|pctl_FortifiedTier_TypeCode1 /  pctl_FortifiedTier_Name1 /  pctl_FortifiedTier_Description1|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|Foundation|ID|policycenterlite.dbo.pctl_FoundationType_HOE|pctl_FoundationType_HOE_TypeCode /  pctl_FoundationType_HOE_Name /  pctl_FoundationType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|FullBaths_Ext|ID|policycenterlite.dbo.pctl_NumberOfFullBaths_Ext|pctl_NumberOfFullBaths_Ext_TypeCode /  pctl_NumberOfFullBaths_Ext_Name /  pctl_NumberOfFullBaths_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|Garage|ID|policycenterlite.dbo.pctl_GarageType_HOE|pctl_GarageType_HOE_TypeCode /  pctl_GarageType_HOE_Name /  pctl_GarageType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|GarageDoorStrength|ID|policycenterlite.dbo.pctl_GarageDoorStrength_Ext|pctl_GarageDoorStrength_Ext_TypeCode /  pctl_GarageDoorStrength_Ext_Name /  pctl_GarageDoorStrength_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|HalfBaths_Ext|ID|policycenterlite.dbo.pctl_NumberOfHalfBaths_Ext|pctl_NumberOfHalfBaths_Ext_TypeCode /  pctl_NumberOfHalfBaths_Ext_Name /  pctl_NumberOfHalfBaths_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|HomeStyle|ID|policycenterlite.dbo.pctl_HOHomeStyle_HOE|pctl_HOHomeStyle_HOE_TypeCode /  pctl_HOHomeStyle_HOE_Name /  pctl_HOHomeStyle_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|HOPolicyType|ID|policycenterlite.dbo.pctl_HOPolicyType_HOE|pctl_HOPolicyType_HOE_TypeCode /  pctl_HOPolicyType_HOE_Name /  pctl_HOPolicyType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|IBHSCertificateType_Ext|ID|policycenterlite.dbo.pctl_IBHSCertificateType|pctl_IBHSCertificateType_TypeCode /  pctl_IBHSCertificateType_Name /  pctl_IBHSCertificateType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|IBHSFortifiedForNC_Ext|ID|policycenterlite.dbo.pctl_IBHSFortifiedForNC_Ext|pctl_IBHSFortifiedForNC_Ext_TypeCode_IBHSFortifiedForNC_Ext / pctl_IBHSFortifiedForNC_Ext_Name_IBHSFortifiedForNC_Ext / pctl_IBHSFortifiedForNC_Ext_Description_IBHSFortifiedForNC_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|IBHSMitigationNC_Ext|ID|policycenterlite.dbo.pctl_IBHSMitigationNC_Ext|pctl_IBHSMitigationNC_Ext_TypeCode_IBHSMitigationNC_Ext / pctl_IBHSMitigationNC_Ext_Name_IBHSMitigationNC_Ext / pctl_IBHSMitigationNC_Ext_Description_IBHSMitigationNC_Ext|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|InspectionReturnCode_Ext|ID|policycenterlite.dbo.pctl_InspectionReturnType_Ext|pctl_InspectionReturnType_Ext_TypeCode /  pctl_InspectionReturnType_Ext_Name /  pctl_InspectionReturnType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|MonthYearPurchased|ID|policycenterlite.dbo.pctl_Months|pctl_Months_TypeCode /  pctl_Months_Name /  pctl_Months_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|NoOfMortgages_Ext|ID|policycenterlite.dbo.pctl_NoOfMortgages|pctl_NoOfMortgages_TypeCode /  pctl_NoOfMortgages_Name /  pctl_NoOfMortgages_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|Occupancy|ID|policycenterlite.dbo.pctl_DwellingOccupancyType_HOE|pctl_DwellingOccupancyType_HOE_TypeCode /  pctl_DwellingOccupancyType_HOE_Name /  pctl_DwellingOccupancyType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|OpeningProtection_Ext|ID|policycenterlite.dbo.pctl_OpeningProtection_Ext|pctl_OpeningProtection_Ext_TypeCode /  pctl_OpeningProtection_Ext_Name /  pctl_OpeningProtection_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|PlumbingType|ID|policycenterlite.dbo.pctl_PlumbingType_HOE|pctl_PlumbingType_HOE_TypeCode /  pctl_PlumbingType_HOE_Name /  pctl_PlumbingType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|PreferredCoverageCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|PrimaryHeating|ID|policycenterlite.dbo.pctl_HeatingType_HOE|pctl_HeatingType_HOE_TypeCode /  pctl_HeatingType_HOE_Name /  pctl_HeatingType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|PrimaryHeatingFuelLineLocation|ID|policycenterlite.dbo.pctl_FuelLineLocationType_HOE|pctl_FuelLineLocationType_HOE_TypeCode /  pctl_FuelLineLocationType_HOE_Name /  pctl_FuelLineLocationType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|PrimaryHeatingFuelTankLocation|ID|policycenterlite.dbo.pctl_FuelTankLocationType_HOE|pctl_FuelTankLocationType_HOE_TypeCode /  pctl_FuelTankLocationType_HOE_Name /  pctl_FuelTankLocationType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|ResidenceType|ID|policycenterlite.dbo.pctl_ResidenceType_HOE|pctl_ResidenceType_HOE_TypeCode /  pctl_ResidenceType_HOE_Name /  pctl_ResidenceType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|RoofCovrAttachment_Ext|ID|policycenterlite.dbo.pctl_RoofCoverAttachment_Ext|pctl_RoofCoverAttachment_Ext_TypeCode /  pctl_RoofCoverAttachment_Ext_Name /  pctl_RoofCoverAttachment_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|RoofDckAttachment_Ext|ID|policycenterlite.dbo.pctl_RoofDeckAttachment_Ext|pctl_RoofDeckAttachment_Ext_TypeCode /  pctl_RoofDeckAttachment_Ext_Name /  pctl_RoofDeckAttachment_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|RoofType|ID|policycenterlite.dbo.pctl_RoofType|pctl_RoofType_TypeCode /  pctl_RoofType_Name /  pctl_RoofType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|RoofWallConnection_Ext|ID|policycenterlite.dbo.pctl_RoofToWallConnection_Ext|pctl_RoofToWallConnection_Ext_TypeCode /  pctl_RoofToWallConnection_Ext_Name /  pctl_RoofToWallConnection_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|SecondaryWaterResist_Ext|ID|policycenterlite.dbo.pctl_SecondaryWaterResist_Ext|pctl_SecondaryWaterResist_Ext_TypeCode /  pctl_SecondaryWaterResist_Ext_Name /  pctl_SecondaryWaterResist_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|SprinklerSystemType|ID|policycenterlite.dbo.pctl_SprinklerSystemType_HOE|pctl_SprinklerSystemType_HOE_TypeCode /  pctl_SprinklerSystemType_HOE_Name /  pctl_SprinklerSystemType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|StoriesNumber|ID|policycenterlite.dbo.pctl_NumberOfStories_HOE|pctl_NumberOfStories_HOE_TypeCode /  pctl_NumberOfStories_HOE_Name /  pctl_NumberOfStories_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|Subtype|ID|policycenterlite.dbo.pctl_Dwelling_HOE|pctl_Dwelling_HOE_TypeCode / pctl_Dwelling_HOE_Name / pctl_Dwelling_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|SwimmingPool|ID|policycenterlite.dbo.pctl_SwimmingPoolType_HOE|pctl_SwimmingPoolType_HOE_TypeCode /  pctl_SwimmingPoolType_HOE_Name /  pctl_SwimmingPoolType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|TypeOfInspection_Ext|ID|policycenterlite.dbo.pctl_InspectionType_Ext|pctl_InspectionType_Ext_TypeCode /  pctl_InspectionType_Ext_Name /  pctl_InspectionType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|UnitsNumber|ID|policycenterlite.dbo.pctl_NumUnits_HOE|pctl_NumUnits_HOE_TypeCode /  pctl_NumUnits_HOE_Name /  pctl_NumUnits_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|VintageOrStandardConstruction|ID|policycenterlite.dbo.pctl_OldConstructionType|pctl_OldConstructionType_TypeCode /  pctl_OldConstructionType_Name /  pctl_OldConstructionType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|WindClass|ID|policycenterlite.dbo.pctl_WindRating|pctl_WindRating_TypeCode /  pctl_WindRating_Name /  pctl_WindRating_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_dwelling_hoe|WiringType|ID|policycenterlite.dbo.pctl_WiringType_HOE|pctl_WiringType_HOE_TypeCode /  pctl_WiringType_HOE_Name /  pctl_WiringType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_eachItemLimit|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_earthquakeconstgrp_bp7|Subtype|ID|policycenterlite.dbo.pctl_EarthquakeConstGrp_BP7|pctl_EarthquakeConstGrp_BP7_TypeCode / pctl_EarthquakeConstGrp_BP7_Name / pctl_EarthquakeConstGrp_BP7_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_earthquakezonesBOP|state|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_earthquakezonesBOP|Subtype|ID|policycenterlite.dbo.pctl_EarthquakeZones_BOP|pctl_EarthquakeZones_BOP_TypeCode / pctl_EarthquakeZones_BOP_Name / pctl_EarthquakeZones_BOP_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_eartquakezones|state|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_eartquakezones|Subtype|ID|policycenterlite.dbo.pctl_EartquakeZones|pctl_EartquakeZones_TypeCode / pctl_EartquakeZones_Name / pctl_EartquakeZones_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_edeliveryoptoutcateg_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pc_effectivedatedfields|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_enoeligibility_ext|BaseState|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_enoeligibility_ext|Subtype|ID|policycenterlite.dbo.pctl_EnOEligibility_Ext|pctl_EnOEligibility_Ext_TypeCode / pctl_EnOEligibility_Ext_Name / pctl_EnOEligibility_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_esescoreliab_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_esescoreprop_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_esescorereasoninfo_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_ESignAuthDetails|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_etlclausepattern|Subtype|ID|policycenterlite.dbo.pctl_ETLClausePattern|pctl_ETLClausePattern_TypeCode / pctl_ETLClausePattern_Name / pctl_ETLClausePattern_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_etlcovtermpattern|Subtype|ID|policycenterlite.dbo.pctl_ETLCoverageTermPattern|pctl_ETLCoverageTermPattern_TypeCode / pctl_ETLCoverageTermPattern_Name / pctl_ETLCoverageTermPattern_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_etlcovtermoption|Subtype|ID|policycenterlite.dbo.pctl_ETLCovTermOpt|pctl_ETLCovTermOpt_TypeCode / pctl_ETLCovTermOpt_Name / pctl_ETLCovTermOpt_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_etlcovtermpackage|Subtype|ID|policycenterlite.dbo.pctl_ETLCovTermPack|pctl_ETLCovTermPack_TypeCode / pctl_ETLCovTermPack_Name / pctl_ETLCovTermPack_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_etlpackterm|Subtype|ID|policycenterlite.dbo.pctl_ETLPackageTerm|pctl_ETLPackageTerm_TypeCode / pctl_ETLPackageTerm_Name / pctl_ETLPackageTerm_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_exchangerate|BaseCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode_BaseCurrency / pctl_Currency_Name_BaseCurrency / pctl_Currency_Description_BaseCurrency|TypeCode / Name / Description
policycenterlite.dbo.pc_exchangerate|PriceCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode_PriceCurrency / pctl_Currency_Name_PriceCurrency / pctl_Currency_Description_PriceCurrency|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|Availability|ID|policycenterlite.dbo.pctl_AvailabilityType|pctl_AvailabilityType_TypeCode / pctl_AvailabilityType_Name / pctl_AvailabilityType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|JobType|ID|policycenterlite.dbo.pctl_Job|pctl_Job_TypeCode / pctl_Job_Name / pctl_Job_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|ProgramType|ID|policycenterlite.dbo.pctl_CUProgramType_Ext|pctl_CUProgramType_Ext_TypeCode / pctl_CUProgramType_Ext_Name / pctl_CUProgramType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|PropertyType|ID|policycenterlite.dbo.pctl_BP7PropertyType|pctl_BP7PropertyType_TypeCode / pctl_BP7PropertyType_Name / pctl_BP7PropertyType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode /  pctl_Jurisdiction_Name /  pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|Subtype|ID|policycenterlite.dbo.pctl_ExclusionLookup|pctl_ExclusionLookup_TypeCode / pctl_ExclusionLookup_Name / pctl_ExclusionLookup_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|UWCompanyCode|ID|policycenterlite.dbo.pctl_UWCompanyCode|pctl_UWCompanyCode_TypeCode /  pctl_UWCompanyCode_Name /  pctl_UWCompanyCode_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|PolicyType|ID|policycenterlite.dbo.pctl_BAPolicyType|pctl_BAPolicyType_TypeCode / pctl_BAPolicyType_Name / pctl_BAPolicyType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|CA7PolicyType|ID|policycenterlite.dbo.pctl_CA7PolicyType|pctl_CA7PolicyType_TypeCode / pctl_CA7PolicyType_Name / pctl_CA7PolicyType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|CA7VehicleType|ID|policycenterlite.dbo.pctl_CA7VehicleType|pctl_CA7VehicleType_TypeCode / pctl_CA7VehicleType_Name / pctl_CA7VehicleType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_excllookup|HOPolicyType|ID|policycenterlite.dbo.pctl_HOPolicyType_HOE|pctl_HOPolicyType_HOE_TypeCode / pctl_HOPolicyType_HOE_Name / pctl_HOPolicyType_HOE_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_farmerpersonalliab_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
