DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenter.dbo.pc_producercodecurrency|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_producercoderole|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_productlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_productmodifierlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_questionlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_questionsetlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratebook|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratetable|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratetableargsource|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratetableargsourceset|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratetablecolumn|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratetabledefinition|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratetablematchop|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratetablematchopdef|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_ratingfactorlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_reasoncodeactiontype|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_refdatelookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_reinsurable|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_riskclass|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_role|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_role_desc_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_role_name_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_securityzone|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_taxlocation|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_territory|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_territorycode|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_user|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_userproducercode|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_userrole|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_usersettings|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_uw_issue_ldesc|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_uw_issue_sdesc|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_uwauthoritygrant|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_uwauthorityprofile|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_uwcompany|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_uwisstype_desc|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_uwisstype_name|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_uwissue|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_uwissuehistory|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_uwissuetype|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_uwissueuniqueid|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_uwreferralreason|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_vehicleclasscode|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_vehicledriver|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_vehicleindustrycode|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_wcclasscode|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_wcfedliabclasscode|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_wcjurisdiction|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_job|Y|Y|UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_wcmodifier|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_wcratefactor|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_wcstatecov|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pctl_acceptdecline|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accountcontact|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accountcontactrole|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accountorgtype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accountpaymentmethod|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accountrelationshiptype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accountsearchtype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accountstatus|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_accounttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_actiontype_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_activity|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_activitycategory|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_activityclass|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_activitypatternlevel|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_activitystatus|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_activitytype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_additionalinsuredtype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_additionalinteresttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_additionalliablimit_hoe|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_additionalpropertytype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_addlinterestdetail|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_address|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_addresstype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_affinitygroup_hoe_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_affinitygrouptype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_agencydstrbutiontype_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_agentcommindtype_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_agglimitlevel|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_aggregatelimits|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_airzonerate_bop_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_alarmcertification|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_alarmclass|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_alarmdescription|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_alarmgrade|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_alarmtype_hoe|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_amsapti_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_animalbreed_hoe|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_animalbreed_pue|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_animaltype_hoe|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_animaltype_pue|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_antitheft|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_antitheftdevicecl_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_antithefttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_antithefttypeky_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_approvalstatus|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_arbitrationtype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_archivefinalstatus|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_archivemethod|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_archivesourcestatus|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_archivestate|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_arealeased|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_arrangementtype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_assignmentsearchtype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_assignmentselectiontype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_assignmentstatus|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_attachmentbasistype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_attributederivedflag_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_auditbusinessdayadjust|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_auditescalationprompttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_auditfrequency|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_auditintervalcomputetype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_auditmethod|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_auditreportdatedirection|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_auditscheduletype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_autoincrease|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_autosync|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_availability|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_availabilitytype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bacost|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bajurisdictioncosttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bajurismodifier|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bamodifier|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bankaccounttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_banonownedliabcovcosttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bapolicytype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_baratedordertype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_basistype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bastatecond|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bastatecov|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bastatecovpipcosttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bastateexcl|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_batchprocesstype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_batchprocesstypeusage|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bidependencytype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_billingmethod|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_billingperiodicity|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_billingremainderallocate|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_billingtransactiontype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bindoption|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_blanketgrouptype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_blankettype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_blockingaction|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bodytype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bopbuildingcov|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bopcodeaffinityprgm_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bopconstructiontype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bopcost|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_boplocationcov|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bopmodifier|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7actioncoastal_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7acvorreplacementcost|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7blanketitem|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7bldgcodeeffgrade|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7bldgcodeeffgradeclass|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7blkttype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7buildingcond|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7buildingcov|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7buildingexcl|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7buildingschedcovitem|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7bundlecredit_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7classdescription|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7classificationcond|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7classificationcov|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7classificationexcl|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7classificationproperty|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7classschedcovitem|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7constructiontype|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7cost|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7doorstrength_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7egftype_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7eqzone|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7exposurebasis|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7feettohydrant|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7fireprotectionclass|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7irpmtype_ext|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7linecond|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7linecov|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7lineexcl|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7linemod|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7lineschedconditem|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7lineschedcovitem|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7locationcond|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7locationcov|Y||Truncate and Load|TypeList|| |||
PolicyCenter.dbo.pctl_bp7locationexcl|Y||Truncate and Load|TypeList|| |||
